DivisionNm,OTH,ALP,LNP,PartyAb,Year
MARIBYRNONG,11.16632938,51.3295079,37.50416272,ALP,2004
MAYO,29.87120947,16.49217498,53.63661554,LNP,2004
MCEWEN,13.70770322,34.55238052,51.73991626,LNP,2004
MCMILLAN,10.36841617,37.85578873,51.7757951,LNP,2004
MCPHERSON,10.91895882,30.12659266,58.95444852,LNP,2004
MELBOURNE,23.13063396,51.77946899,25.08989705,ALP,2004
MELBOURNE PORTS,17.80097016,39.25474056,42.94428928,ALP,2004
MENZIES,10.42848878,32.78597718,56.78553404,LNP,2004
MITCHELL,14.80870129,20.83711608,64.35418263,LNP,2004
MONCRIEFF,11.70363444,23.91743788,64.37892768,LNP,2004
MOORE,13.21338495,31.44759223,55.33902282,LNP,2004
MORETON,11.76978125,39.11587068,49.11434807,LNP,2004
MURRAY,14.69962819,19.77069525,65.52967656,LNP,2004
NEW ENGLAND,62.59494536,8.687112293,28.71794234,OTH,2004
NEWCASTLE,18.47561426,45.98243931,35.54194643,ALP,2004
NORTH SYDNEY,16.49646504,27.26218531,56.24134964,LNP,2004
O'CONNOR,18.73330685,18.57168294,62.6950102,LNP,2004
OXLEY,15.90070616,50.46718308,33.63211075,ALP,2004
PAGE,17.11399296,33.63387728,49.25212976,LNP,2004
PARKES,8.227251609,31.28426362,60.48848477,LNP,2004
PARRAMATTA,14.35827701,41.5496807,44.09204229,ALP,2004
PATERSON,11.95920423,36.05263158,51.98816419,LNP,2004
PEARCE,18.23040934,28.0527305,53.71686016,LNP,2004
PERTH,17.52573115,45.59137446,36.8828944,ALP,2004
PETRIE,10.11089203,37.1595062,52.72960177,LNP,2004
PORT ADELAIDE,13.57390523,54.51043114,31.91566364,ALP,2004
PROSPECT,11.74016134,50.07351675,38.18632191,ALP,2004
RANKIN,17.84380933,43.92273289,38.23345778,ALP,2004
REID,17.86902061,51.36605228,30.76492711,ALP,2004
RICHMOND,18.60591989,35.59928444,45.79479567,ALP,2004
RIVERINA,8.470489827,24.7004699,66.82904027,LNP,2004
ROBERTSON,11.62584947,34.75702013,53.6171304,LNP,2004
RYAN,15.82551772,29.41398628,54.760496,LNP,2004
SCULLIN,10.07038026,59.02361762,30.90600212,ALP,2004
SHORTLAND,14.27717222,49.91466833,35.80815945,ALP,2004
SOLOMON,11.38395695,39.12030171,49.49574134,LNP,2004
STIRLING,13.7969124,38.94484917,47.25823843,LNP,2004
STURT,13.78918491,34.54929464,51.66152045,LNP,2004
SWAN,15.94108822,39.9212394,44.13767238,ALP,2004
SYDNEY,26.85609421,44.68237668,28.46152911,ALP,2004
TANGNEY,17.74068115,28.54384553,53.71547332,LNP,2004
THROSBY,12.73660652,56.26082668,31.00256679,ALP,2004
WAKEFIELD,13.81487546,42.37248189,43.81264265,LNP,2004
WANNON,10.31193576,31.85403402,57.83403022,LNP,2004
WARRINGAH,19.8313195,25.63756416,54.53111634,LNP,2004
WATSON,11.40641173,56.92417594,31.66941233,ALP,2004
WENTWORTH,31.86732587,26.33787895,41.79479518,LNP,2004
WERRIWA,11.68450412,52.97658429,35.33891159,ALP,2004
WIDE BAY,27.2384186,25.68609011,47.07549129,LNP,2004
WILLS,17.4787929,53.81971529,28.70149181,ALP,2004
ADELAIDE,13.30888575,48.26403385,38.42708039,ALP,2007
ASTON,10.44259544,38.84305225,50.71435231,LNP,2007
BALLARAT,11.63333637,50.32684949,38.03981414,ALP,2007
BANKS,11.77440273,54.61630768,33.60928958,ALP,2007
BARKER,12.88108388,30.06959038,57.04932574,LNP,2007
BARTON,11.283947,55.2570578,33.45899519,ALP,2007
BASS,19.27155949,37.22722644,43.50121407,ALP,2007
BATMAN,22.1827494,57.18105472,20.63619588,ALP,2007
BENDIGO,14.4470379,47.13793487,38.41502723,ALP,2007
BENNELONG,9.074263868,45.38053179,45.54520434,ALP,2007
BEROWRA,15.90617314,30.67130602,53.42252085,LNP,2007
BLAIR,8.985458519,48.82743549,42.18710599,ALP,2007
BLAXLAND,14.58376369,61.31868416,24.09755216,ALP,2007
BONNER,9.29050012,48.79636277,41.91313711,ALP,2007
BOOTHBY,19.63488708,34.11859458,46.24651834,LNP,2007
BOWMAN,9.732949977,44.11076728,46.15628274,LNP,2007
BRADDON,12.31644557,43.68784051,43.99571392,ALP,2007
BRADFIELD,14.23557174,26.69125233,59.07317594,LNP,2007
BRAND,15.27132346,46.14556104,38.5831155,ALP,2007
BRISBANE,15.56521531,45.03928921,39.39549547,ALP,2007
BRUCE,10.57977673,51.84835653,37.57186673,ALP,2007
CALARE,26.92172309,24.59854103,48.47973588,LNP,2007
CALWELL,13.22823693,60.22023879,26.55152428,ALP,2007
CANBERRA,13.77794797,51.09703136,35.12502067,ALP,2007
CANNING,13.35695471,36.94608266,49.69696263,LNP,2007
CAPRICORNIA,7.630465444,55.83921016,36.5303244,ALP,2007
CASEY,13.99602576,35.85075056,50.15322368,LNP,2007
CHARLTON,15.23628626,53.08296166,31.68075208,ALP,2007
CHIFLEY,12.05754966,64.18081346,23.76163688,ALP,2007
CHISHOLM,12.42081278,48.12454616,39.45464106,ALP,2007
COOK,11.69475188,35.90997248,52.39527565,LNP,2007
CORANGAMITE,13.38584419,41.91207381,44.702082,ALP,2007
CORIO,24.8937272,45.49319011,29.61308269,ALP,2007
COWAN,12.20038181,41.99132669,45.8082915,LNP,2007
COWPER,15.3816204,38.08063051,46.53774909,LNP,2007
CUNNINGHAM,20.1308338,53.22988519,26.63928101,ALP,2007
CURTIN,16.19794825,24.53380837,59.26824338,LNP,2007
DAWSON,9.42983005,48.08525017,42.48491978,ALP,2007
DEAKIN,13.79905236,41.85518163,44.34576601,ALP,2007
DENISON,21.87744255,48.46177896,29.66077849,ALP,2007
DICKSON,10.18850288,43.66603952,46.1454576,LNP,2007
DOBELL,11.3634157,46.32263702,42.31394728,ALP,2007
DUNKLEY,11.94967826,38.25633073,49.79399102,LNP,2007
EDEN-MONARO,11.89193659,44.56257235,43.54549106,ALP,2007
FADDEN,9.992449031,33.68691046,56.32064051,LNP,2007
FAIRFAX,16.71839059,36.46232672,46.81928268,LNP,2007
FARRER,9.537555501,32.73629418,57.72615031,LNP,2007
FISHER,21.89589632,33.96605151,44.13805216,LNP,2007
FLINDERS,11.64892119,33.88316151,54.4679173,LNP,2007
FLYNN,6.906356392,44.76037263,48.33327098,ALP,2007
FORDE,9.504649499,44.35034744,46.14500307,ALP,2007
FORREST,24.41865889,30.18425656,45.39708455,LNP,2007
FOWLER,7.96471507,64.24520209,27.79008284,ALP,2007
FRANKLIN,17.5952212,41.38573456,41.01904424,ALP,2007
FRASER,17.67666544,51.09771807,31.22561649,ALP,2007
FREMANTLE,19.72065431,45.18341448,35.09593121,ALP,2007
GELLIBRAND,16.93878036,60.22268169,22.83853795,ALP,2007
GILMORE,11.81387365,37.7949426,50.39118375,LNP,2007
GIPPSLAND,15.08378621,36.5482579,48.36795589,LNP,2007
GOLDSTEIN,13.39288855,33.68620969,52.92090177,LNP,2007
GORTON,13.74746921,61.93268095,24.31984984,ALP,2007
GRAYNDLER,23.67127863,55.47352099,20.85520038,ALP,2007
GREENWAY,11.43910981,38.46526415,50.09562604,LNP,2007
