DivisionNm,PartyAb,LNP,ALP,OTH,Year
McEwen,ALP,35.0399542,30.5605751,34.3994706,2025
McMahon,ALP,33.5697097,37.8078331,28.6224572,2025
McPherson,LNP,41.45543,23.0402757,35.5042943,2025
Melbourne,OTH,19.3980519,30.9411864,49.6607618,2025
Menzies,LNP,40.4145089,27.6281261,31.9573651,2025
Mitchell,LNP,50.1474967,23.8842717,25.9682316,2025
Monash,LNP,36.351999,22.271513,41.376488,2025
Moncrieff,LNP,43.2092167,22.5213873,34.269396,2025
Moore,LNP,39.5144755,29.656646,30.8288785,2025
Moreton,ALP,33.1788036,35.5446277,31.2765687,2025
New England,LNP,45.9808729,19.7493091,34.269818,2025
Newcastle,ALP,25.7728439,38.2304068,35.9967493,2025
Nicholls,LNP,41.8790471,15.7198386,42.4011143,2025
O'Connor,LNP,41.1539654,24.347186,34.4988486,2025
Oxley,ALP,30.5427938,39.9372794,29.5199268,2025
Page,LNP,41.9000317,20.6511934,37.4487749,2025
Parkes,LNP,46.4855605,18.5256688,34.9887707,2025
Parramatta,ALP,37.2547516,35.8206948,26.9245535,2025
Paterson,ALP,37.1618973,36.036703,26.8013996,2025
Pearce,ALP,32.9775223,34.3824772,32.6400005,2025
Perth,ALP,28.5397072,36.5414821,34.9188107,2025
Petrie,LNP,40.6761352,30.0218303,29.3020345,2025
Rankin,ALP,31.2752858,36.2935464,32.4311678,2025
Reid,ALP,38.5181651,34.3198226,27.1620123,2025
Richmond,ALP,28.3800102,26.1116566,45.5083333,2025
Riverina,LNP,42.6173974,20.8890625,36.4935401,2025
Robertson,LNP,38.4014187,32.5494511,29.0491301,2025
Ryan,OTH,36.9531977,26.5115182,36.535284,2025
Scullin,ALP,28.8197559,36.4132608,34.7669832,2025
Shortland,ALP,33.9985523,34.6255916,31.3758561,2025
Solomon,ALP,29.92636,34.1668274,35.9068127,2025
Spence,ALP,28.5928395,37.9922421,33.4149184,2025
Sturt,LNP,40.2685329,29.5401337,30.1913333,2025
Swan,ALP,32.6152582,36.2406679,31.1440739,2025
Sydney,ALP,20.151055,44.4863215,35.3626235,2025
Tangney,ALP,38.5802018,36.2112349,25.2085633,2025
Wannon,OTH,37.6840218,18.5504845,43.7654937,2025
Warringah,OTH,31.4923903,15.4950697,53.0125401,2025
Watson,ALP,29.6667224,39.8080723,30.5252053,2025
Wentworth,OTH,35.0390526,20.6962579,44.2646895,2025
Werriwa,LNP,36.1745656,30.7135505,33.1118839,2025
Whitlam,ALP,33.1710426,34.9753785,31.8535789,2025
Wide Bay,LNP,40.364615,20.4194049,39.2159802,2025
Wills,ALP,20.7274149,32.860804,46.4117811,2025
Wright,LNP,41.3691251,18.3279646,40.3029103,2025
